,Polinomios,D,bases
0,"[-1158*x^2 + 1139*y^2 - 1441*z^2 - 683*x + 247, -276*x*y - 1128*x*z - 978*y^2 - 1700*z^2 + 1092*z]",4,"[x^4 + 1656*y^3*z + 1665*y^2*z^2 + 390*y*z^3 - 1684*z^4 + 1416*y^3 + 1588*y^2*z - 1012*y*z^2 + 404*z^3 + 492*x*z + 694*y^2 + 1296*y*z - 1193*z^2 - 4*x + 110*y + 699*z - 1252, x^3*y + 1142*y^3*z + 141*y^2*z^2 + 1043*y*z^3 - 1652*z^4 + 945*y^3 - 60*y^2*z - 559*y*z^2 - 5*z^3 + 1134*x*z - 1306*y^2 - 885*y*z + 1755*z^2 + 441*y + 1769*z, x^3*z + 1392*y^3*z + 237*y^2*z^2 + 253*y*z^3 - 1085*z^4 + 1725*y^3 + 846*y^2*z - 457*y*z^2 + 866*z^3 - 202*x*z - 539*y^2 + 494*y*z - 1726*z^2 - 1170*y + 1389*z, x^2*y^2 - 1362*y^3*z + 1011*y^2*z^2 + 219*y*z^3 - 30*z^4 - 1350*y^3 - 688*y^2*z - 139*y*z^2 - 756*z^3 - 1099*x*z - 658*y^2 + 1532*y*z + 60*z^2 - 1702*y + 277*z, x^2*y*z + 970*y^3*z - 1031*y*z^3 + 966*y^3 - 937*y^2*z - 28*y*z^2 + 436*z^3 - 1731*x*z - 1295*y^2 + 65*y*z - 885*z^2 + 1473*y - 1313*z, x^2*z^2 + 970*y^2*z^2 - 1031*z^4 + 1273*y^3 - 384*y^2*z + 837*y*z^2 + 1736*z^3 - 67*x*z + 581*y^2 - 765*y*z + 734*z^2 + 432*y + 359*z, x*y^3 - 1414*y^3*z - 1681*y^2*z^2 - 509*y*z^3 - 124*z^4 + 90*y^3 + 170*y^2*z - 1635*y*z^2 + 1577*z^3 + 109*x*z + 168*y^2 + 756*y*z + 491*z^2 + 356*y + 263*z, x*y^2*z - 720*y^3*z + 1378*y^2*z^2 - 1372*y*z^3 + 714*z^4 + 469*y^3 + 777*y^2*z - 1593*y*z^2 - 1422*z^3 + 162*x*z - 346*y^2 - 1486*y*z - 825*z^2 - 1521*y + 879*z, x*y*z^2 + 1743*y^3*z + 1625*y^2*z^2 + 1029*y*z^3 + 1712*z^4 + 1055*y^3 - 1058*y^2*z - 64*y*z^2 + 197*z^3 - 1549*x*z + 462*y^2 + 590*y*z + 466*z^2 - 1024*y + 200*z, x*z^3 + 215*y^3*z - 76*y^2*z^2 - 1497*y*z^3 + 48*z^4 + 6*y^3 - 43*y^2*z + 393*y*z^2 - 1634*z^3 - 187*x*z - 1396*y^2 + 1365*y*z + 1018*z^2 - 806*y + 102*z, y^4 + 272*y^3*z - 163*y^2*z^2 - 450*y*z^3 + 256*z^4 - 1415*y^3 - 1424*y^2*z - 1727*y*z^2 - 437*z^3 + 1048*y^2 + 1370*y*z - 645*z^2, x^3 + 1392*y^3 + 237*y^2*z + 253*y*z^2 - 1085*z^3 - 173*x*z - 194*y^2 - 407*y*z - 344*z^2 - 1418*x + 639*y - 873*z + 440, x^2*y + 970*y^3 - 1031*y*z^2 + 45*x*z - 810*y^2 - 951*z^2 + 1565*y + 1579*z, x^2*z + 970*y^2*z - 1031*z^3 + 555*x*z + 1565*z, x*y^2 - 720*y^3 + 1378*y^2*z - 1372*y*z^2 + 714*z^3 - 1289*x*z - 575*y^2 - 1528*y*z + 552*z^2 + 476*y + 1348*z, x*y*z + 1743*y^3 + 1625*y^2*z + 1029*y*z^2 + 1712*z^3 + 655*x*z - 1180*y^2 - 1627*y*z - 286*z^2 - 41*y + 1255*z, x*z^2 + 215*y^3 - 76*y^2*z - 1497*y*z^2 + 48*z^3 - 198*x*z + 817*y^2 - 1149*y*z - 497*z^2 - 1688*y + 108*z, x^2 + 970*y^2 - 1031*z^2 + 555*x + 1565, x*y - 767*x*z - 382*y^2 + 366*z^2 + 1384*z]"
1,"[1712*x^2 - 648*y^2 - 578*z^2 - 691*x + 395*y, 231*x*y - 572*y*z - 1544*z^2 + 788*y + 1033]",4,"[x^4 + 129*y^2*z^2 + 521*y*z^3 + 1133*z^4 - 585*y^3 - 1624*y^2*z - 862*y*z^2 + 1205*z^3 - 30*y^2 - 1202*y*z + 1370*z^2 - 1394*x - 1507*y - 1562*z + 46, x^3*y - 1630*y^3*z + 685*y^2*z^2 + 232*y*z^3 + 403*z^4 + 472*y^3 - 134*y^2*z + 1038*y*z^2 - 1635*y^2 + 56*y*z + 1022*z^2 - 1311*y - 498, x^3*z + 336*y^3*z - 1630*y^2*z^2 - 709*y*z^3 - 232*z^4 - 1572*y^2*z + 703*y*z^2 + 1437*z^3 + 637*x*z - 1563*y*z + 339*z^2 + 171*z, x^2*y^2 - 915*y^2*z^2 + 1683*y*z^3 - 457*z^4 - 133*y^2*z - 1500*y*z^2 - 1161*y^2 - 701*y*z - 652*z^2 + 296*y + 140, x^2*y*z - 249*y^3*z - 452*y*z^3 + 628*y^2*z - 1355*y*z^2 - 1574*z^3 - 961*y*z - 238*z, x^2*z^2 - 249*y^2*z^2 - 452*z^4 - 617*y^3 + 422*y*z^2 + 1355*z^3 + 502*y^2 - 1632*y*z - 1472*z^2 + 1731*x - 1399*y + 1246*z - 173, x*y^3 - 847*y^3*z + 715*y^2*z^2 + 894*y^3 + 1325*y^2, x*y^2*z - 847*y^2*z^2 + 715*y*z^3 + 894*y^2*z + 1325*y*z, x*y*z^2 - 847*y*z^3 + 715*z^4 + 894*y*z^2 + 1325*z^2, x*z^3 - 1349*y^3*z + 44*y*z^3 + 847*z^4 + 1408*y^2*z + 1485*y*z^2 - 1373*z^3 + 870*x*z + 471*y*z - 886*z^2 + 829*z, y^4 + 397*y^2*z^2 - 677*y*z^3 - 244*z^4 - 1484*y^3 - 1676*y^2*z + 1553*y*z^2 + 1267*y^2 - 188*y*z + 1080*z^2 - 297*y + 1596, x^3 + 336*y^3 - 1630*y^2*z - 709*y*z^2 - 232*z^3 - 1572*y^2 + 703*y*z + 1437*z^2 + 637*x - 1563*y + 339*z + 171, x^2*y - 249*y^3 - 452*y*z^2 + 628*y^2 - 1355*y*z - 1574*z^2 - 961*y - 238, x^2*z - 249*y^2*z - 452*z^3 - 479*x*z + 628*y*z, x*y^2 - 847*y^2*z + 715*y*z^2 + 894*y^2 + 1325*y, x*y*z - 847*y*z^2 + 715*z^3 + 894*y*z + 1325*z, x*z^2 - 1349*y^3 + 44*y*z^2 + 847*z^3 + 1408*y^2 + 1485*y*z - 1373*z^2 + 870*x + 471*y - 886*z + 829, x^2 - 249*y^2 - 452*z^2 - 479*x + 628*y, x*y - 847*y*z + 715*z^2 + 894*y + 1325]"
2,"[-1039*y^2 - 439*y*z + 682*z^2 - 749*x + 1539, 904*x*z - 664*y^2 - 991*y*z + 1311*z^2 - 562*x]",2,"[-1039*y^2 - 439*y*z + 682*z^2 - 749*x + 1539, 904*x*z - 664*y^2 - 991*y*z + 1311*z^2 - 562*x]"
3,"[104*x*y - 558*x*z + 694*y^2 + 1506*z^2 + 1225*z, -155*y^2 + 560*z^2 - 1733*y + 178*z + 1548]",3,"[x^2*y - 210*x^2*z + 1301*y*z^2 + 91*z^3 - 1750*x*z + 1380*y*z + 903*z^2 - 664*x + 674*y - 1147*z + 813, x*y^2 - 97*y*z^2 + 912*z^3 - 1042*x*z + 227*y*z + 1665*z^2 + 697*x - 1731*y + 859*z + 1667, x*y*z - 761*y*z^2 - 97*z^3 + 772*x*z + 1381*y*z - 295*z^2 - 1027*x - 646*y - 186*z, x*z^2 - 1642*y*z^2 - 761*z^3 - 1280*x*z - 1679*y*z - 547*z^2 + 12*x - 1557*y - 1287*z, y^3 + 1255*y*z^2 + 1349*y*z - 1560*z^2 - 444*y + 1531*z - 1272, y^2*z + 1255*z^3 + 835*y*z + 1349*z^2 + 1569*z, x*y - 210*x*z + 98*z^2 - 729*y + 1071*z + 512, y^2 + 1255*z^2 + 835*y + 1349*z + 1569]"
4,"[75*x^2 + 658*y^2 - 1396*y*z + 549*z^2 - 975, -339*x*y + 625*x*z - 1679*y*z + 32*z^2 + 78]",4,"[x^4 - 1405*y^3*z + 908*y^2*z^2 - 1660*y*z^3 - 1431*z^4 - 217*y^2 + 267*y*z - 1685*z^2 - 501, x^3*y + 1521*y^3*z - 271*y^2*z^2 + 958*y*z^3 + 1624*z^4 + 252*x*z + 467*y^2 + 1570*y*z - 1445*z^2 - 568, x^3*z - 478*y^3*z - 317*y^2*z^2 + 1042*y*z^3 - 1356*z^4 + 568*x*z + 1337*y*z + 1541*z^2, x^2*y^2 - 1429*y^3*z + 1396*y^2*z^2 + 1743*y*z^3 + 1631*z^4 + 1634*y*z - 1301*z^2 - 167, x^2*y*z + 529*y^3*z - 1532*y^2*z^2 + 1568*y*z^3 - 13*y*z, x^2*z^2 + 529*y^2*z^2 - 1532*y*z^3 + 1568*z^4 - 13*z^2, x*y^3 + 467*y^3*z + 1531*y^2*z^2 + 682*y*z^3 - 695*z^4 + 870*x*z + 502*y^2 + 1575*y*z - 393*z^2, x*y^2*z - 158*y^3*z - 1031*y^2*z^2 + 1312*y*z^3 - 1285*z^4 + 103*x*z + 3*y*z - 548*z^2, x*y*z^2 + 601*y^3*z + 1589*y^2*z^2 - 849*y*z^3 - 1151*z^4 + 1696*x*z - 55*y*z + 1411*z^2, x*z^3 + 116*y^3*z + 1611*y^2*z^2 + 1211*y*z^3 + 1538*z^4 - 794*x*z - 1250*y*z + 22*z^2, y^4 - 664*y^3*z + 1281*y^2*z^2 - 10*y*z^3 - 1733*z^4 + 295*y^2 + 245*y*z - 601*z^2 - 1334, x^3 - 478*y^3 - 317*y^2*z + 1042*y*z^2 - 1356*z^3 + 568*x + 1337*y + 1541*z, x^2*y + 529*y^3 - 1532*y^2*z + 1568*y*z^2 - 13*y, x^2*z + 529*y^2*z - 1532*y*z^2 + 1568*z^3 - 13*z, x*y^2 - 158*y^3 - 1031*y^2*z + 1312*y*z^2 - 1285*z^3 + 103*x + 3*y - 548*z, x*y*z + 601*y^3 + 1589*y^2*z - 849*y*z^2 - 1151*z^3 + 1696*x - 55*y + 1411*z, x*z^2 + 116*y^3 + 1611*y^2*z + 1211*y*z^2 + 1538*z^3 - 794*x - 1250*y + 22*z, x^2 + 529*y^2 - 1532*y*z + 1568*z^2 - 13, x*y - 525*x*z - 1711*y*z + 115*z^2 + 502]"
5,"[658*y^2 + 432*z^2 - 370*x + 340*y - 575, -1449*x^2 + 738*x*z - 195*y^2 + 149*y*z - 415*z^2]",2,"[658*y^2 + 432*z^2 - 370*x + 340*y - 575, -1449*x^2 + 738*x*z - 195*y^2 + 149*y*z - 415*z^2]"
6,"[1313*y*z - 690*z^2 + 240*x + 431*y + 815*z, 935*x^2 + 1481*x*y + 1763*z^2 - 1569*x - 743*z]",2,"[1313*y*z - 690*z^2 + 240*x + 431*y + 815*z, 935*x^2 + 1481*x*y + 1763*z^2 - 1569*x - 743*z]"
7,"[44*x*y + 89*y^2 - 1506*z^2 + 325*x - 1276*z, 919*x^2 + 363*y*z + 608*z^2 - 1107*y - 1103]",4,"[x^4 - 96*y^2*z^2 + 1320*y*z^3 + 783*z^4 + 1377*y^2*z - 156*y*z^2 - 33*y^2 + 1199*y*z + 181*z^2 + 213*y - 908, x^3*y + 1627*y^3*z - 988*y^2*z^2 - 1347*y*z^3 - 937*z^4 + 264*y^3 + 865*y^2*z - 779*y*z^2 + 107*z^3 + 727*x*z + 1691*y^2 + 305*y*z - 1575*z^2 - 1557*x - 141*y + 1682*z + 1720, x^3*z + 879*y^3*z + 756*y^2*z^2 - 1448*y*z^3 - 1347*z^4 - 1429*y^3 + 474*y^2*z - 936*y*z^2 - 328*z^3 + 907*x*z + 622*y^2 + 1281*y*z - 281*z^2 + 209*x - 1114*y - 1741*z - 473, x^2*y^2 - 1721*y^3*z - 1026*y^2*z^2 + 1203*y^3 - 1464*y^2, x^2*y*z - 1721*y^2*z^2 - 1026*y*z^3 + 1203*y^2*z - 1464*y*z, x^2*z^2 - 1721*y*z^3 - 1026*z^4 + 1203*y*z^2 - 1464*z^2, x*y^3 + 532*y^3*z + 1536*y^2*z^2 + 515*z^4 + 662*y^3 + 1439*y^2*z + 1299*y*z^2 - 1101*z^3 - 1724*y^2 + 746*y*z - 1089*z^2 + 448*x + 1487*y - 1115*z + 1413, x*y^2*z + 1050*y^3*z + 127*y*z^3 - 178*y^2*z - 29*y*z^2 - 535*z^3 - 650*x*z - 995*z^2, x*y*z^2 + 1050*y^2*z^2 + 127*z^4 + 941*y^3 - 997*y^2*z - 505*y*z^2 - 29*z^3 - 1125*x*z - 561*y^2 + 1038*y*z - 1281*z^2 + 262*x + 674*y - 1618*z - 1153, x*z^3 - 51*y^3*z + 1019*y^2*z^2 - 1405*y*z^3 + 128*y^3 + 1248*y^2*z + 497*y*z^2 + 861*z^3 - 220*x*z - 16*y^2 - 1045*y*z - 1436*z^2 + 1272*x + 348*y - 527*z + 1415, y^4 + 1371*y^3*z - 856*y^2*z^2 - 693*z^4 + 1418*y^3 - 1204*y^2*z + 1086*y*z^2 + 903*z^3 - 1686*y^2 + 853*y*z + 1137*z^2 - 775*y - 579, x^3 + 879*y^3 + 756*y^2*z - 1448*y*z^2 - 1347*z^3 - 1419*x*z + 1689*y^2 - 655*y*z - 328*z^2 + 58*x - 603*y + 1675*z - 342, x^2*y - 1721*y^2*z - 1026*y*z^2 + 1203*y^2 - 1464*y, x^2*z - 1721*y*z^2 - 1026*z^3 + 1203*y*z - 1464*z, x*y^2 + 1050*y^3 + 127*y*z^2 - 178*y^2 - 29*y*z - 535*z^2 - 650*x - 995*z, x*y*z + 1050*y^2*z + 127*z^3 + 88*x*z - 29*z^2, x*z^2 - 51*y^3 + 1019*y^2*z - 1405*y*z^2 + 698*x*z - 437*y^2 - 1221*y*z + 861*z^2 + 1045*x + 1524*y + 99*z + 1182, x^2 - 1721*y*z - 1026*z^2 + 1203*y - 1464, x*y + 1050*y^2 + 127*z^2 + 88*x - 29*z]"
8,"[1173*x*z - 861*y^2 + 968*y*z - 1490*z^2 + 1616*z, -1506*x^2 + 1593*z^2 + 383*y + 1381*z - 139]",4,"[x^4 + 563*z^4 + 1482*y*z^2 - 676*z^3 - 1759*y^2 + 49*y*z + 83*z^2 - 1659*y + 10*z - 676, x^3*y - 314*y^3*z + 1041*y^2*z^2 + 882*y*z^3 - 665*y^3 - 614*y^2*z + 524*y*z^2 - 339*z^3 + 26*x*y - 67*y^2 - 1419*y*z - 1696*z^2 + 1280*z, x^3*z - 314*y^2*z^2 + 1041*y*z^3 + 882*z^4 - 1289*y^3 + 223*y^2*z + 1021*y*z^2 - 547*z^3 - 625*y^2 + 230*y*z + 1117*z^2 + 448*z, x^2*y^2 + 1080*y^2*z^2 - 582*y^3 - 1228*y^2*z + 26*y^2, x^2*y*z + 1080*y*z^3 - 582*y^2*z - 1228*y*z^2 + 26*y*z, x^2*z^2 + 1080*z^4 - 582*y*z^2 - 1228*z^3 + 26*z^2, x*y^3 - 450*y^3*z + 21*y^2*z^2 + 884*y*z^3 - 915*z^4 - 1347*y^3 - 1003*y^2*z - 201*y*z^2 + 1041*z^3 - 1107*y*z + 1289*z^2, x*y^2*z - 403*y^3*z - 376*y^2*z^2 + 1044*y*z^3 - 92*z^4 - 1347*y^2*z - 1583*y*z^2 + 314*z^3 - 1107*z^2, x*y*z^2 + 979*y^3*z + 403*y^2*z^2 + 413*y*z^3 + 1347*y*z^2, x*z^3 + 979*y^2*z^2 + 403*y*z^3 + 413*z^4 + 1347*z^3, y^4 - 97*y^3*z + 816*y^2*z^2 - 1309*y*z^3 - 768*z^4 + 952*y^2*z - 723*y*z^2 - 1080*z^3 + 12*z^2, x^3 - 314*y^2*z + 1041*y*z^2 + 882*z^3 - 582*x*y - 221*y^2 - 1696*y*z - 547*z^2 + 26*x + 1214*z, x^2*y + 1080*y*z^2 - 582*y^2 - 1228*y*z + 26*y, x^2*z + 1080*z^3 - 582*y*z - 1228*z^2 + 26*z, x*y^2 - 403*y^3 - 376*y^2*z + 1044*y*z^2 - 92*z^3 - 1347*y^2 - 1583*y*z + 314*z^2 - 1107*z, x*y*z + 979*y^3 + 403*y^2*z + 413*y*z^2 + 1347*y*z, x*z^2 + 979*y^2*z + 403*y*z^2 + 413*z^3 + 1347*z^2, x^2 + 1080*z^2 - 582*y - 1228*z + 26, x*z + 979*y^2 + 403*y*z + 413*z^2 + 1347*z]"
9,"[-1098*x^2 + 284*y^2 + 1659*y*z - 8*z^2 - 1132*z, 17*y^2 + 1491*z^2 + 1684*x + 1766*y + 1666]",2,"[-1098*x^2 + 284*y^2 + 1659*y*z - 8*z^2 - 1132*z, 17*y^2 + 1491*z^2 + 1684*x + 1766*y + 1666]"
