,Polinomios,D,bases
0,"[223*y*z - 308*z^2 + 110*y + 245*z + 231, -4*x*y - 141*y^2 - 37*y*z + 80*z^2 - 201*x]",3,"[x^2*y - 191*y^3 + 249*z^3 - 118*x^2 + 53*x*z - 79*y^2 - 66*z^2 - 77*x + 126*y - 257*z + 222, x*y^2 - 133*y^3 + 21*z^3 - 209*y^2 - 143*z^2 + 209*x - 108*y - 214*z + 164, x*y*z + 139*z^3 - 118*x*z + 132*y^2 + 3*z^2 - 59*y - 192*z - 208, x*z^2 + 282*z^3 - 237*x*z - 153*z^2 - 115*x + 285*y + 211*z + 103, y^2*z - 194*z^3 + 254*y^2 - 95*z^2 + 178*y + 186*z + 317, y*z^2 + 231*z^3 + 198*z^2 + 92*y - 106*z - 76, x*y - 133*y^2 - 306*z^2 - 118*x + 6*y - 109*z - 122, y*z + 231*z^2 + 254*y + 321*z - 5]"
1,"[224*x^2 - 330*y^2 - 249*z^2 - 126*z + 250, -221*y^2 - 286*y*z - 180*z^2 - 256*y + 120]",2,"[224*x^2 - 330*y^2 - 249*z^2 - 126*z + 250, -221*y^2 - 286*y*z - 180*z^2 - 256*y + 120]"
2,"[-206*x*y - 32*z^2 + 303*y + 220*z + 84, 65*y^2 - 84*y*z - 253*z^2 + 331*x + 245*y]",3,"[x^2*y + 32*y*z^2 - 31*z^3 - 200*x^2 + 12*x*z - 220*y*z - 28*z^2 - 46*x + 254*y - 198*z + 161, x*y^2 - 222*y*z^2 + 241*y*z + 201*z^2 + 19*x + 27*y, x*y*z - 222*z^3 + 41*y*z + 12*z^2 + 78*z, x*z^2 - 206*y*z^2 - 179*z^3 + 278*x^2 - 98*y*z - 29*z^2 - 43*x + 36*y - 126*z + 291, y^3 + 299*y*z^2 - 272*z^3 - 240*x*z - 93*y*z + 105*z^2 + 27*x - 266*y - 175*z - 128, y^2*z - 22*y*z^2 + 110*z^3 + 295*x*z - 48*y*z, x*y - 222*z^2 + 41*y + 12*z + 78, y^2 - 22*y*z + 110*z^2 + 295*x - 48*y]"
3,"[147*x*y + 172*y*z + 223*z^2 + 181*x - 22, 49*x*y + 191*x*z - 202*y*z - 87*z^2 - 313*y]",3,"[x^2*y - 325*y*z^2 - 279*z^3 + 134*x^2 - 71*y*z + 104*z^2 - 56*x - 271*y + 295*z + 240, x^2*z + 305*y*z^2 + 150*z^3 + 22*x^2 - 253*y*z + 143*z^2 + 303*x - 26*y - 76*z + 220, x*y^2 - 170*y*z^2 + 219*z^3 - 245*y^2 + 21*y*z + 283*z^2 + 215*x - 223*y - 88*z - 305, x*y*z + 79*y*z^2 - 58*z^3 - 208*y*z - 164*z^2 - 256*x - 168*y - 284*z + 191, x*z^2 + 102*y*z^2 - 49*z^3 + 168*y*z - 268*z^2 + 189*x + 103*y + 94*z - 49, y^2*z - 186*y*z^2 - 105*z^3 + 182*y^2 - 15*y*z - 263*z^2 - 103*y - 50*z, x*y + 79*y*z - 58*z^2 + 134*x - 284, x*z + 102*y*z - 49*z^2 + 22*x - 280*y + 94]"
4,"[-34*x*y + 237*y^2 - 175*y*z + 273*z^2 - 24, -251*x^2 - 230*x*y - 309*z^2 + 175*z + 30]",4,"[x^4 + 109*y^3*z - 321*y^2*z^2 - 261*y*z^3 + 217*z^4 + 162*y^2*z + 309*y*z^2 - 233*z^3 + 285*y^2 - 185*y*z - 214*z^2 + 141*z + 134, x^3*y - 315*y^3*z - 54*y^2*z^2 - 94*y*z^3 - 95*z^4 - 30*y^2*z - 252*y*z^2 + 97*z^3 + 317*y^2 - 68*y*z - 277*z^2 - 223*z - 93, x^3*z + 106*y^3*z - 199*y^2*z^2 + 163*y*z^3 - 95*z^4 - 257*y^3 + 87*y^2*z - 329*y*z^2 + 252*z^3 - 322*x*z - 50*y*z - 73*z^2 - 130*x + 158*y - 281*z, x^2*y^2 - 22*y^3*z - 12*y^2*z^2 + 256*y*z^3 - 92*z^4 + 132*y^2*z - 15*y^2 - 200*y*z + 312*z^2 - 206, x^2*y*z + 216*y^3*z + 62*y^2*z^2 - 319*y*z^3 - 301*y*z^2 - 220*y*z, x^2*z^2 + 216*y^2*z^2 + 62*y*z^3 - 319*z^4 - 301*z^3 - 220*z^2, x*y^3 - 134*y^3*z + 111*y^2*z^2 - 215*y*z^3 + 235*z^4 - 177*y^2*z - 291*y^2 + 189*y*z - 241*z^2 + 336, x*y^2*z + 92*y^3*z - 173*y^2*z^2 - 107*y*z^3 - 316*y*z, x*y*z^2 + 92*y^2*z^2 - 173*y*z^3 - 107*z^4 - 316*z^2, x*z^3 - 334*y^3*z + 244*y^2*z^2 - 287*y*z^3 + 173*z^4 - 72*y*z^2 - 148*x*z + 242*y*z - 30*z^2, y^4 - 37*y^3*z - 17*y^2*z^2 + 273*y*z^3 + 312*z^4 - 298*y^2*z - 110*y^2 - 24*y*z - 151*z^2 - 267, x^3 + 106*y^3 - 199*y^2*z + 163*y*z^2 - 95*z^3 - 301*x*z - 86*y*z - 322*x + 86*y - 73*z, x^2*y + 216*y^3 + 62*y^2*z - 319*y*z^2 - 301*y*z - 220*y, x^2*z + 216*y^2*z + 62*y*z^2 - 319*z^3 - 301*z^2 - 220*z, x*y^2 + 92*y^3 - 173*y^2*z - 107*y*z^2 - 316*y, x*y*z + 92*y^2*z - 173*y*z^2 - 107*z^3 - 316*z, x*z^2 - 334*y^3 + 244*y^2*z - 287*y*z^2 + 173*z^3 - 72*y*z - 148*x + 242*y - 30*z, x^2 + 216*y^2 + 62*y*z - 319*z^2 - 301*z - 220, x*y + 92*y^2 - 173*y*z - 107*z^2 - 316]"
5,"[91*x^2 - 209*x*z - 109*z^2 - 133*y + 234, -36*y^2 + 275*y*z - 189*z^2 + 56*z + 169]",2,"[91*x^2 - 209*x*z - 109*z^2 - 133*y + 234, -36*y^2 + 275*y*z - 189*z^2 + 56*z + 169]"
6,"[103*y^2 + 66*y*z - 166*z^2 - 43*x - 221*z, 137*y*z + 322*z^2 + 257*y - 228*z + 278]",3,"[x*y^2 - 264*x*z^2 + 176*x^2 + 98*x*y + 111*x*z + 161*x, x*y*z + 22*x*z^2 + 51*x*y - 95*x*z + 228*x, y^3 + 176*x*y - 70*x*z - 234*z^2 + 45*x - 53*y + 193*z + 297, y^2*z + 118*x*z + 28*z^2 - 266*x + 335*y - 36*z + 298, y*z^2 + 117*x*z - 212*z^2 - 90*x - 73*y + 313*z - 167, z^3 + 270*x*z - 321*z^2 + 310*x + 191*y + 94*z + 305, y^2 - 264*z^2 + 176*x + 98*y + 111*z + 161, y*z + 22*z^2 + 51*y - 95*z + 228]"
7,"[53*x*y + 77*x*z - 133*z^2 + 331*x + 20*y, -2*x^2 + 211*x*z - 183*y*z + 99*z^2 + 202]",4,"[x^4 + 230*y^2*z^2 - 142*y*z^3 - 294*z^4 - 161*y^2*z - 237*y*z^2 + 222*z^3 - 185*x*z - 129*y*z - 110*z^2 - 68*x - 132*y - 299*z + 327, x^3*y - 54*y^2*z^2 + 233*y*z^3 + 32*z^4 - 256*y^2*z - 47*y*z^2 + 247*z^3 - 69*x*z - 198*y*z - 293*z^2 + 210*x - 28*y + 251*z + 330, x^3*z + 334*y^2*z^2 + 231*y*z^3 + 119*z^4 + 220*y^2*z + 195*y*z^2 + 300*z^3 + 127*x*z + 296*y*z - 261*z^2 + 118*x - 246*y - 185*z - 19, x^2*y^2 + 7*y^2*z^2 + 244*y*z^3 - 3*z^4 + 12*y^2*z + 26*y*z^2 + 269*z^3 - 268*x*z - 222*y^2 + 47*y*z + 154*z^2 - 89*x + 179*y + 31*z + 189, x^2*y*z + 179*y^2*z^2 - 209*y*z^3 - 208*z^4 - 214*y^2*z + 163*y*z^2 - 189*z^3 - 307*x*z + 15*y*z + 248*z^2 + 81*x + 276*y - 173*z - 110, x^2*z^2 - 152*y^2*z^2 + 9*y*z^3 - 141*z^4 + 84*y^2*z + 248*y*z^2 + 117*z^3 - 76*x*z - 269*y*z + 19*z^2 + 94*x - 253*y + 286*z + 213, x*y^3 + 328*y^2*z^2 + 181*y*z^3 - 79*z^4 - 152*y^3 + 304*y^2*z - 24*y*z^2 - 36*z^3 - 276*x*z + 162*y^2 + 299*y*z + 3*z^2 - 119*x + 166*y - 173*z - 112, x*y^2*z + 227*y^2*z^2 + 24*y*z^3 + 168*z^4 - 110*y^2*z + 228*y*z^2 + 63*z^3 - 229*x*z - 140*y*z - 265*z^2 + 47*x + 210*y + 22*z - 230, x*y*z^2 + 71*y^2*z^2 + 209*y*z^3 - 238*z^4 + 234*y^2*z - 260*y*z^2 + 62*z^3 + 147*x*z - 152*y*z + 232*z^2 - 315*x - 176*y - 75*z - 320, x*z^3 + 292*y^2*z^2 - 240*y*z^3 - 205*z^4 + 122*y^2*z + 232*y*z^2 + 218*z^3 + 146*x*z + 74*y*z - 18*z^2 - 216*x - 63*y + 159*z + 69, y^3*z - 114*y^2*z^2 - 89*y*z^3 + 282*z^4 - 252*y^2*z - 164*y*z^2 + 283*z^3 + 5*y^2 - 184*y*z - 230*z^2 - 43*y + 128*z - 293, x^3 + 334*y^2*z + 231*y*z^2 + 119*z^3 + 73*x*z + 173*y*z + 141*z^2 - 240*x + 324*y + 33*z + 222, x^2*y + 179*y^2*z - 209*y*z^2 - 208*z^3 + 33*x*z + 319*y*z - 224*z^2 + 154*x - 246*z + 306, x^2*z - 152*y^2*z + 9*y*z^2 - 141*z^3 + 138*x*z + 105*y*z + 93*z^2 - 106*x - 87*y - 89*z - 97, x*y^2 + 227*y^2*z + 24*y*z^2 + 168*z^3 + 69*x*z - 152*y^2 - 180*y*z + 51*z^2 - 244*x - 49*y - 319*z + 167, x*y*z + 71*y^2*z + 209*y*z^2 - 238*z^3 + 96*x*z + 255*y*z - 101*z^2 - 225*x - 318*y - 165*z + 156, x*z^2 + 292*y^2*z - 240*y*z^2 - 205*z^3 - 88*x*z - 184*y*z + 87*z^2 - 186*x + 114*y - 271*z - 221, x^2 + 231*x*z - 245*y*z + 287*z^2 - 101, x*y - 316*x*z - 66*z^2 + 311*x - 152*y]"
8,"[271*y*z - 292*z^2 - 251*x + 198*y - 50*z, -190*x^2 - 121*z^2 - 27*x - 277*z + 301]",2,"[271*y*z - 292*z^2 - 251*x + 198*y - 50*z, -190*x^2 - 121*z^2 - 27*x - 277*z + 301]"
9,"[-110*x^2 - 194*x*y - 218*y*z - 214*z^2 + 59*x, 264*x*y + 231*z^2 - 51*x - 326*y + 170]",4,"[x^4 + 318*y^2*z^2 - 16*y*z^3 + 233*z^4 - 172*y^2*z - 38*y*z^2 + 315*z^3 + 114*x*z + 102*y^2 + 28*y*z - 44*z^2 + 242*x + 159*y + 293*z + 248, x^3*y + 321*y*z^3 + 157*z^4 + 269*y^2*z + 304*y*z^2 - 68*z^3 + 251*x*z + 308*y^2 + 116*y*z + 122*z^2 - 77*x + 305*y + 285*z + 304, x^3*z - 87*y^2*z^2 - 74*y*z^3 + 321*z^4 + 245*y^2*z - 196*y*z^2 + 238*z^3 + 314*x*z - 233*y^2 - 268*y*z + 118*z^2 - 197*x - 97*y - 232*z + 9, x^2*y^2 + 178*z^4 - 133*y^2*z + 43*y*z^2 - 186*y^2 - 251*y*z - 66*z^2 + 23*x - 109*y - 13, x^2*y*z + 210*y^2*z^2 + 109*y*z^3 + 313*y^2*z - 169*z^3 + 317*x*z + 330*y*z + 65*z, x^2*z^2 + 210*y*z^3 + 109*z^4 - 275*y^2*z - 6*y*z^2 + 183*y^2 - 31*y*z - 123*z^2 - 163*x - 152*y + 250, x*y^3 + 85*y^2*z^2 + 218*y^3 - 83*y*z^2 - 100*y^2 - 299*z^2 + 302*x + 256*y + 115, x*y^2*z + 85*y*z^3 + 218*y^2*z - 83*z^3 - 139*x*z - 100*y*z + 239*z, x*y*z^2 + 85*z^4 + 76*y^2*z - 313*y*z^2 + 62*y^2 - 290*y*z + 243*z^2 - 92*x + 228*y + 298, x*z^3 - 240*y^2*z^2 + 260*y*z^3 + 123*y^2*z - 76*y*z^2 - 263*z^3 + 78*x*z - 47*y*z + 157*z, y^3*z + 55*y^2*z^2 - 238*z^4 - 194*y^3 - 291*y^2*z + 140*y*z^2 - 36*y^2 + 139*y*z + 138*z^2 - 27*y + 114, x^3 - 87*y^2*z - 74*y*z^2 + 321*z^3 + 270*x*z + 53*y^2 + 12*y*z + 238*z^2 + 314*x + 75*y - 227*z - 232, x^2*y + 210*y^2*z + 109*y*z^2 + 313*y^2 - 169*z^2 + 317*x + 330*y + 65, x^2*z + 210*y*z^2 + 109*z^3 + 97*x*z + 313*y*z - 60*z, x*y^2 + 85*y*z^2 + 218*y^2 - 83*z^2 - 139*x - 100*y + 239, x*y*z + 85*z^3 + 191*x*z + 218*y*z - 188*z, x*z^2 - 240*y^2*z + 260*y*z^2 + 123*y^2 - 76*y*z - 263*z^2 + 78*x - 47*y + 157, x^2 + 210*y*z + 109*z^2 + 97*x + 313*y - 60, x*y + 85*z^2 + 191*x + 218*y - 188]"
